categorie,type,difficulte,question,reponse_correcte,reponses_incorrectes,toutes_reponses
Science & Nature,multiple,hard,What nucleotide pairs with guanine?,Cytosine,Thymine|Adenine|Uracil,Cytosine|Thymine|Adenine|Uracil
Entertainment: Video Games,multiple,medium,"In the game ""Terraria"", which of these bosses are pre-hardmode bosses?",Eye of Cthulhu,Plantera|Skeletron Prime|The Destroyer,Eye of Cthulhu|Plantera|Skeletron Prime|The Destroyer
Entertainment: Video Games,multiple,easy,In World of Warcraft the default UI color that signifies Druid is what?,Orange,Brown|Green|Blue,Orange|Brown|Green|Blue
Science: Mathematics,multiple,medium,"In the complex plane, multiplying a given function by i rotates it anti-clockwise by how many degrees?",90,180|270|0,90|180|270|0
History,multiple,medium,"When did L. L. Zamenhof first publish ""Unua Libro"", the first publication describing his international language Esperanto?",1887,1897|1905|1915,1887|1897|1905|1915
History,multiple,medium,Where was Portuguese explorer Ferdinand Magellan killed in 1521?,The Phillipines,Canary Islands|Guam|Argentina,The Phillipines|Canary Islands|Guam|Argentina
Entertainment: Film,multiple,hard,"In 2012, which movie won every category in the 32nd ""Golden Raspberry Awards""?",Jack and Jill,The Girl with the Dragon Tattoo|Thor|The King's Speech,Jack and Jill|The Girl with the Dragon Tattoo|Thor|The King's Speech
Entertainment: Video Games,multiple,medium,What mainly favored rifle is used by the Terrorists in Counter Strike: Global Offensive?,AK-47,AK-74|M4A4|CZ-75 AUTO,AK-47|AK-74|M4A4|CZ-75 AUTO
Sports,multiple,medium,"In Formula 1, the Virtual Safety Car was introduced following the fatal crash of which driver?",Jules Bianchi,Ayrton Senna|Ronald Ratzenberger|Gilles Villeneuve,Jules Bianchi|Ayrton Senna|Ronald Ratzenberger|Gilles Villeneuve
History,multiple,medium,Which of these countries was NOT a part of the Soviet Union?,Afghanistan,Turkmenistan|Kazakhstan|Uzbekistan,Afghanistan|Turkmenistan|Kazakhstan|Uzbekistan
Entertainment: Books,multiple,easy,"Who wrote ""The Scarlet Letter"", published in 1850?",Nathaniel Hawthorne,Washington Irving|James Fenimore Cooper|Catherine Maria Sedgwick,Nathaniel Hawthorne|Washington Irving|James Fenimore Cooper|Catherine Maria Sedgwick
Entertainment: Video Games,multiple,medium,"During the game's development, what was the first ever created Pokémon?",Rhyhorn,Bulbasaur|Mew|Arceus,Rhyhorn|Bulbasaur|Mew|Arceus
Entertainment: Music,multiple,medium,Which European capital city gives its name to a 1981 song by Ultravox?,Vienna,Berlin|Paris|Brussels,Vienna|Berlin|Paris|Brussels
Entertainment: Video Games,multiple,hard,How many voice channels does the Super Nintendo Entertainment System support?,8,6|10|12,8|6|10|12
Science & Nature,multiple,medium,Gannymede is the largest moon of which planet?,Jupiter,Uranus|Neptune|Mars,Jupiter|Uranus|Neptune|Mars
Entertainment: Board Games,multiple,medium,"In ""Magic: The Gathering"", during the design for Planar Chaos, what color did the developers think of adding in as the sixth color?",Purple,Brown|Pink|Orange,Purple|Brown|Pink|Orange
Entertainment: Music,multiple,hard,What song originally performed by The Bee Gees in 1978 had a cover version by Steps 20 years later?,Tragedy,Night Fever|Stayin' Alive|You Should Be Dancing,Tragedy|Night Fever|Stayin' Alive|You Should Be Dancing
Entertainment: Television,multiple,easy,"What TV show featured older women named Blanche, Rose, Dorothy and Sophia?",The Golden Girls,Cheers|The Wonder Years|Family Ties,The Golden Girls|Cheers|The Wonder Years|Family Ties
Science & Nature,multiple,hard,How many legs is it biologically impossible for a centipede to have?,100,26|50|74,100|26|50|74
Entertainment: Books,multiple,medium,"In Alice in Wonderland, what is the name of Alice's kitten?",Dinah,Oscar|Heath|Smokey,Dinah|Oscar|Heath|Smokey
Entertainment: Music,multiple,medium,"Who recorded the album called ""Down to the Moon"" in 1986?",Andreas Vollenweider,Jean-Michel Jarre|Bing Crosby|Enya,Andreas Vollenweider|Jean-Michel Jarre|Bing Crosby|Enya
Entertainment: Japanese Anime & Manga,multiple,hard,"In ""One Piece"", who is the girl who overcame her enslaved past and became an agent of an army to fight the corrupt government?",Koala,Boa Hancock|Nico Robin|Emporio Ivankov ,Koala|Boa Hancock|Nico Robin|Emporio Ivankov 
Sports,multiple,easy,"This Canadian television sportscaster is known for his ""Hockey Night in Canada"" role, a commentary show during hockey games.",Don Cherry,Don McKellar|Don Taylor |Donald Sutherland,Don Cherry|Don McKellar|Don Taylor |Donald Sutherland
Entertainment: Cartoon & Animations,multiple,easy,The song 'Little April Shower' features in which Disney cartoon film?,Bambi,Cinderella|Pinocchio|The Jungle Book,Bambi|Cinderella|Pinocchio|The Jungle Book
Entertainment: Television,multiple,easy,"On the show ""Rick and Morty"", in episode ""Total Rickall"", who was a parasite?",Pencilvester,Beth Smith|Summer Smith|Mr. Poopy Butthole,Pencilvester|Beth Smith|Summer Smith|Mr. Poopy Butthole
Entertainment: Japanese Anime & Manga,multiple,easy,What is the name of the stuffed lion in Bleach?,Kon,Jo|Urdiu|Chad,Kon|Jo|Urdiu|Chad
Entertainment: Film,multiple,medium,"Which actor plays the character ""Tommy Jarvis"" in ""Friday the 13th: The Final Chapter"" (1984)?",Corey Feldman,Macaulay Culkin|Mel Gibson|Mark Hamill,Corey Feldman|Macaulay Culkin|Mel Gibson|Mark Hamill
History,multiple,hard,"The coat of arms of the King of Spain contains the arms from the monarchs of Castille, Leon, Aragon and which other former Iberian kingdom?",Navarre,Galicia|Granada|Catalonia,Navarre|Galicia|Granada|Catalonia
General Knowledge,multiple,easy,"In aerodynamics, which force pushes an object upwards?",Lift,Drag|Weight|Thrust,Lift|Drag|Weight|Thrust
Entertainment: Music,multiple,medium,Which of these songs did Jimi Hendrix cover?,All of these songs,Sgt. Pepper's Lonely Hearts Club Band|All Along the Watchtower|House of the Rising Sun,All of these songs|Sgt. Pepper's Lonely Hearts Club Band|All Along the Watchtower|House of the Rising Sun
Entertainment: Video Games,multiple,medium,"Toby Fox's ""Megalovania"" was first used where?",Radiation's Earthbound Halloween Hack,Homestuck: [S] Wake|Undertale|Mother: Cognitive Dissonance,Radiation's Earthbound Halloween Hack|Homestuck: [S] Wake|Undertale|Mother: Cognitive Dissonance
Entertainment: Music,multiple,easy,What album did Bon Iver release in 2016?,"22, A Million","Bon Iver, Bon Iver|Blood Bank EP|For Emma, Forever Ago","22, A Million|Bon Iver, Bon Iver|Blood Bank EP|For Emma, Forever Ago"
Entertainment: Cartoon & Animations,multiple,medium,"What is Dipper's real name from ""Gravity Falls""?",Mason Pines,Mable Pines|Jason Pines|Mark Pines,Mason Pines|Mable Pines|Jason Pines|Mark Pines
Entertainment: Music,multiple,easy,What is the name of the album released in 2014 by American band Maroon 5?,V,X|III|IV,V|X|III|IV
History,multiple,easy,When was Google founded?,"September 4, 1998","October 9, 1997|December 12, 1989|Feburary 7th, 2000","September 4, 1998|October 9, 1997|December 12, 1989|Feburary 7th, 2000"
Entertainment: Japanese Anime & Manga,multiple,medium,"In the anime, ""Super Sonico"", what is Super Sonico's favorite food?",Macroons,Ice Cream|Pizza|Chips,Macroons|Ice Cream|Pizza|Chips
Entertainment: Video Games,multiple,hard,"Which video game was recalled for containing a hidden, playable South Park episode?",Tiger Woods 99 PGA Tour,Tony Hawk's Pro Skater 3|Sonic Adventure|Madden 99,Tiger Woods 99 PGA Tour|Tony Hawk's Pro Skater 3|Sonic Adventure|Madden 99
Entertainment: Video Games,multiple,medium,"By how many minutes are you late to work in ""Half-Life""?",30,5|60|15,30|5|60|15
Politics,multiple,easy,"According to the United States Constitution, how old must a person be to be elected President of the United States?",35,30|40|45,35|30|40|45
Entertainment: Music,multiple,medium,In which city did American rap producer DJ Khaled originate from?,Miami,New York|Detroit|Atlanta,Miami|New York|Detroit|Atlanta
Entertainment: Video Games,multiple,medium,"In Fallout: New Vegas, upon starting each one of the four campaign DLCs, which one of them does not have a warning screen/recommended level? ",Honest Hearts ,Old World Blues|Lonesome Road|Dead Money,Honest Hearts |Old World Blues|Lonesome Road|Dead Money
Entertainment: Film,multiple,easy,"In the 1995 film ""Balto"", who are Steele's accomplices?","Kaltag, Nikki, and Star","Dusty, Kirby, and Ralph|Nuk, Yak, and Sumac|Jenna, Sylvie, and Dixie","Kaltag, Nikki, and Star|Dusty, Kirby, and Ralph|Nuk, Yak, and Sumac|Jenna, Sylvie, and Dixie"
Entertainment: Video Games,multiple,medium,"In Portal, what color is the Intelligence Core?",Blue,Purple|Red|Orange,Blue|Purple|Red|Orange
Entertainment: Video Games,multiple,medium,Which of these is NOT a faction included in the game Counter-Strike: Global Offensive?,BOPE,GSG-9|Elite Crew|Phoenix Connexion,BOPE|GSG-9|Elite Crew|Phoenix Connexion
General Knowledge,multiple,medium,What is the defining characteristic of someone who is described as hirsute?,Hairy,Rude|Funny|Tall,Hairy|Rude|Funny|Tall
Science & Nature,multiple,hard,What is the name for the auditory illusion of a note that seems to be rising infinitely?,Shepard Tone,Glissandro Illusion|Fransen Effect|McGurck Effect,Shepard Tone|Glissandro Illusion|Fransen Effect|McGurck Effect
General Knowledge,multiple,medium,"The term ""scientist"" was coined in which year?",1833,1933|1942|1796,1833|1933|1942|1796
Entertainment: Film,multiple,hard,"In what year did Clint Eastwood star as Inspector Harry Callahan in the film ""Dirty Harry""?",1971,1975|1983|1969,1971|1975|1983|1969
History,multiple,hard,How many sonatas did Ludwig van Beethoven write?,32,50|31|21,32|50|31|21
Entertainment: Video Games,multiple,easy,What is the default alias that Princess Garnet goes by in Final Fantasy IX?,Dagger,Dirk|Garnet|Quina,Dagger|Dirk|Garnet|Quina
History,multiple,easy,How many manned moon landings have there been?,6,1|3|7,6|1|3|7
Entertainment: Television,multiple,easy,"When Donkey Kong died in the ""Donkey Kong Country"" episode ""It's a Wonderful Life"", who was his guardian angel?",Eddie the Mean Old Yeti,Kiddy Kong|Diddy Kong|King K. Rool,Eddie the Mean Old Yeti|Kiddy Kong|Diddy Kong|King K. Rool
Entertainment: Film,multiple,easy,"In which film does Humphrey Bogart say the famous line, ""Here's looking at you, kid""?",Casablanca,The Maltese Falcon|The Treasure of the Sierra Madre|Citizen Kane,Casablanca|The Maltese Falcon|The Treasure of the Sierra Madre|Citizen Kane
Entertainment: Music,multiple,medium,"Which of these artists was NOT a member of the electronic music supergroup Swedish House Mafia, which split up in 2013?",Alesso,Steve Angello|Sebastian Ingrosso|Axwell,Alesso|Steve Angello|Sebastian Ingrosso|Axwell
History,multiple,easy,Which one of these tanks was designed and operated by the United Kingdom?,Tog II,M4 Sherman|Tiger H1|T-34,Tog II|M4 Sherman|Tiger H1|T-34
Entertainment: Television,multiple,medium,Which boxing personality was one of the presenters in the 1999 revival of It's a Knockout?,Frank Bruno,Henry Cooper|Muhammad Ali|Joe Fraiser,Frank Bruno|Henry Cooper|Muhammad Ali|Joe Fraiser
Entertainment: Video Games,multiple,easy,"Which franchise was NOT featured in the 2015 video game ""Lego Dimensions""?",Breaking Bad,Portal|Doctor Who|Back to the Future,Breaking Bad|Portal|Doctor Who|Back to the Future
Entertainment: Music,multiple,medium,"What animal is featured on the cover of English electronic music group The Prodigy's album, ""The Fat of the Land""?",Crab,Fox|Elephant|Tiger,Crab|Fox|Elephant|Tiger
Entertainment: Film,multiple,hard,"What is the name of the assassin in the first ""Hellboy"" movie?",Karl Ruprecht Kroenen,Klaus Werner von Krupt|Grigori Efimovich Rasputin|Ilsa Haupstein,Karl Ruprecht Kroenen|Klaus Werner von Krupt|Grigori Efimovich Rasputin|Ilsa Haupstein
Entertainment: Film,multiple,medium,What were the Chilled Monkey Brains made from during Indiana Jones and the Temple of Doom?,Custard and Raspberry Sauce,Strawberry Ice Cream|Cherry Yogurt|Raspberry Sorbet,Custard and Raspberry Sauce|Strawberry Ice Cream|Cherry Yogurt|Raspberry Sorbet
Entertainment: Video Games,multiple,hard,What is the homeworld of the Elites from Halo?,Sanghelios,Te|Doisac|Eayn,Sanghelios|Te|Doisac|Eayn
Entertainment: Music,multiple,easy,Which Canadian reggae musician had a 1993 hit with the song 'Informer'?,Snow,Rain|Hail|Sleet,Snow|Rain|Hail|Sleet
Geography,multiple,hard,What is the official German name of the Swiss Federal Railways?,Schweizerische Bundesbahnen,Schweizerische Nationalbahnen|Bundesbahnen der Schweiz|Schweizerische Staatsbahnen,Schweizerische Bundesbahnen|Schweizerische Nationalbahnen|Bundesbahnen der Schweiz|Schweizerische Staatsbahnen
General Knowledge,multiple,medium,Apple co-founder Steve Jobs died from complications of which form of cancer?,Pancreatic,Bone|Liver|Stomach,Pancreatic|Bone|Liver|Stomach
Entertainment: Music,multiple,medium,What is the relationship between the band members of American rock band King of Leon?,Brothers & cousins,Childhood friends|Former classmates|Fraternity house members,Brothers & cousins|Childhood friends|Former classmates|Fraternity house members
Entertainment: Video Games,multiple,medium,"In the ""Call Of Duty: Zombies"" map ""Moon"", there is a secondary called the QED. What does QED stand for?",Quantum Entanglement Device,Quad Ectoplasmic Driver|Question Every Dog|Quality Edward Device,Quantum Entanglement Device|Quad Ectoplasmic Driver|Question Every Dog|Quality Edward Device
Entertainment: Comics,multiple,easy,What's the race of Invincible's father?,Viltrumite,Kryptonian|Kree|Irken,Viltrumite|Kryptonian|Kree|Irken
Entertainment: Video Games,multiple,medium,"Which of these is not a DLC vehicle in ""Mario Kart 8""?",Wild Wiggler,Bone Rattler|B Dasher|300 SL Roadster,Wild Wiggler|Bone Rattler|B Dasher|300 SL Roadster
Geography,multiple,medium,What tiny principality lies between Spain and France?,Andorra,Liechtenstein|Monaco|San Marino,Andorra|Liechtenstein|Monaco|San Marino
History,multiple,medium,"What is the name of the ship which was only a few miles away from the RMS Titanic when it struck an iceberg on April 14, 1912?",Californian,Carpathia|Cristol|Commerce,Californian|Carpathia|Cristol|Commerce
Entertainment: Cartoon & Animations,multiple,easy,Who voices for Ruby in the animated series RWBY?,Lindsay Jones,Tara Strong|Jessica Nigri|Hayden Panettiere,Lindsay Jones|Tara Strong|Jessica Nigri|Hayden Panettiere
Science & Nature,multiple,hard,A comet's gaseous envelope (which creates the tail) is called what?,The coma,The wake|The backwash|The ablative,The coma|The wake|The backwash|The ablative
Science: Computers,multiple,easy,What programming language was GitHub written in?,Ruby,JavaScript|Python|Lua,Ruby|JavaScript|Python|Lua
Entertainment: Video Games,multiple,medium,The original Planetside was released in North America on...,"May 20, 2003","June 17, 2001|September 29, 2003|January 14, 2005","May 20, 2003|June 17, 2001|September 29, 2003|January 14, 2005"
Animals,multiple,hard,What type of creature is a Bonobo?,Ape,Lion|Parrot|Wildcat,Ape|Lion|Parrot|Wildcat
General Knowledge,multiple,easy,Which American president appears on a one dollar bill?,George Washington,Thomas Jefferson|Abraham Lincoln|Benjamin Franklin,George Washington|Thomas Jefferson|Abraham Lincoln|Benjamin Franklin
Entertainment: Video Games,multiple,medium,"Which of these symbols can be seen on the shirt of the 1993 video game character, Bubsy T. Bobcat?",An exclamation point,A question mark|The letter B|Nothing,An exclamation point|A question mark|The letter B|Nothing
Entertainment: Board Games,multiple,easy,Carcassonne is based on which French town?,Carcassonne,Paris|Marseille|Clermont-Ferrand,Carcassonne|Paris|Marseille|Clermont-Ferrand
General Knowledge,multiple,easy,What machine element is located in the center of fidget spinners?,Bearings,Axles|Gears|Belts,Bearings|Axles|Gears|Belts
Animals,multiple,easy,Hippocampus is the Latin name for which marine creature?,Seahorse,Dolphin|Whale|Octopus,Seahorse|Dolphin|Whale|Octopus
Entertainment: Books,multiple,medium,"In The Lies of Locke Lamora, what title is Locke known by in the criminal world?",The Thorn of Camorr,The Rose of the Marrows|The Thorn of Emberlain|The Thorn of the Marrows,The Thorn of Camorr|The Rose of the Marrows|The Thorn of Emberlain|The Thorn of the Marrows
Entertainment: Video Games,multiple,medium,"What is the name of the first level in ""Call of Duty: World at War""?",Semper Fi,Ring of Steel|Vendetta|Eviction,Semper Fi|Ring of Steel|Vendetta|Eviction
Geography,multiple,hard,Which of these countries is NOT a part of the Asian continent?,Suriname,Georgia|Russia|Singapore,Suriname|Georgia|Russia|Singapore
History,multiple,hard,What year was Canada founded in?,1867,1798|1859|1668,1867|1798|1859|1668
Science: Computers,multiple,medium,Which of the following is a personal computer made by the Japanese company Fujitsu?,FM-7,PC-9801|Xmillennium |MSX,FM-7|PC-9801|Xmillennium |MSX
Entertainment: Television,multiple,easy,"In the TV show ""Mad Men"", what was Donald Draper's birthname?","Richard ""Dick"" Whitman","Donald Draper|John Ashbury|Michael ""Mikey"" Wilhelm","Richard ""Dick"" Whitman|Donald Draper|John Ashbury|Michael ""Mikey"" Wilhelm"
Sports,multiple,medium,Which team was the 2014-2015 NBA Champions?,Golden State Warriors,Cleveland Cavaliers|Houston Rockets|Atlanta Hawks,Golden State Warriors|Cleveland Cavaliers|Houston Rockets|Atlanta Hawks
Entertainment: Video Games,multiple,hard,"In the ""Devil May Cry"" franchise, which game is chronologically first?",Devil May Cry 3: Dante's Awakening ,Devil May Cry 4|Devil May Cry|Devil May Cry 2,Devil May Cry 3: Dante's Awakening |Devil May Cry 4|Devil May Cry|Devil May Cry 2
Geography,multiple,easy,"If soccer is called football in England, what is American football called in England?",American football,Combball|Handball|Touchdown,American football|Combball|Handball|Touchdown
Geography,multiple,medium,Which of these countries is not written in its native language?,Slovaško,Suomi|Schweiz|Elláda,Slovaško|Suomi|Schweiz|Elláda
Entertainment: Cartoon & Animations,multiple,easy,"In The Simpsons, which war did Seymour Skinner serve in the USA Army as a Green Beret?",Vietnam War,World War 2|World War 1|Cold War,Vietnam War|World War 2|World War 1|Cold War
Entertainment: Video Games,multiple,medium,"In Sid Meier's Civilization V, which World Wonder can only be built in cities on or next to a desert?",Petra,The Pyramids|Alhambra|Mausoleum of Maussollos,Petra|The Pyramids|Alhambra|Mausoleum of Maussollos
Entertainment: Film,multiple,easy,"In the movie Gremlins, after what time of day should you not feed Mogwai?",Midnight,Evening|Morning|Afternoon,Midnight|Evening|Morning|Afternoon
Entertainment: Film,multiple,easy,Who plays Alice in the Resident Evil movies?,Milla Jovovich,Madison Derpe|Milla Johnson|Kim Demp,Milla Jovovich|Madison Derpe|Milla Johnson|Kim Demp
General Knowledge,multiple,easy,Which of the following is not the host of a program on NPR?,Ben Shapiro,Terry Gross|Ira Glass|Peter Sagal,Ben Shapiro|Terry Gross|Ira Glass|Peter Sagal
Entertainment: Television,multiple,easy,Which character was played by Dustin Diamond in the sitcom 'Saved by the Bell'?,Screech,Zack|Mr. Belding|A.C. Slater,Screech|Zack|Mr. Belding|A.C. Slater
Entertainment: Video Games,multiple,hard,"What device allows Tracer to manipulate her own time in the game ""Overwatch""?",Chronal Accelerator,B.L.I.N.K|Spacial Displacement Manipulator|TMD (Time Manipulation Device),Chronal Accelerator|B.L.I.N.K|Spacial Displacement Manipulator|TMD (Time Manipulation Device)
Entertainment: Television,multiple,easy,In which state of America was the Fresh Prince of Bel-Air born and raised in?,Pennsylvania,Florida|California|New Jersey,Pennsylvania|Florida|California|New Jersey
Entertainment: Board Games,multiple,medium,Which of the following is not a color of mana in Magic: The Gathering?,Yellow,White|Green|Blue,Yellow|White|Green|Blue
History,multiple,medium,"According to scholarly estimates, what percentage of the world population at the time died due to Tamerlane's conquests?",5%,1%|3%|<1%,5%|1%|3%|<1%
Entertainment: Video Games,multiple,easy,What is the protagonist's title given by the demons in DOOM (2016)?,Doom Slayer,Doom Guy|Doom Marine|Doom Reaper,Doom Slayer|Doom Guy|Doom Marine|Doom Reaper
Entertainment: Video Games,multiple,hard,"How long are all the cutscenes from Metal Gear Solid 4 (PS3, 2008) combined?",8 hours,4 hours|12 hours|5 hours,8 hours|4 hours|12 hours|5 hours
History,multiple,hard,The ancient city of Chichén Itzá was built by which civilization?,Mayans,Aztecs|Incas|Toltecs,Mayans|Aztecs|Incas|Toltecs
Entertainment: Video Games,multiple,medium,"In Skylanders Giants, why was Zaps' Wow Pow named ""For Riley"" ?",As a tribute to a fan who passed away,As a reference to a film|After one of the writers of the game|After a voice actor,As a tribute to a fan who passed away|As a reference to a film|After one of the writers of the game|After a voice actor
Entertainment: Music,multiple,easy,"Which former boy-band star released hit solo single ""Angels"" in 1997?",Robbie Williams,Justin Timberlake|Harry Styles|Gary Barlow,Robbie Williams|Justin Timberlake|Harry Styles|Gary Barlow
General Knowledge,multiple,medium,Which item of clothing is usually worn by a Scotsman at a wedding?,Kilt,Skirt|Dress|Rhobes,Kilt|Skirt|Dress|Rhobes
Entertainment: Film,multiple,easy,"Who directed ""E.T. the Extra-Terrestrial"" (1982)?",Steven Spielberg,Stanley Kubrick|James Cameron|Tim Burton,Steven Spielberg|Stanley Kubrick|James Cameron|Tim Burton
Science: Computers,multiple,hard,Which of the following is the oldest of these computers by release date?,TRS-80,Commodore 64|ZX Spectrum|Apple 3,TRS-80|Commodore 64|ZX Spectrum|Apple 3
Sports,multiple,medium,Which portuguese island is soccer player Cristiano Ronaldo from?,Madeira,Terceira|Santa Maria|Porto Santo,Madeira|Terceira|Santa Maria|Porto Santo
General Knowledge,multiple,hard,Which of the following is not another name for the eggplant?,Potimarron,Brinjal|Guinea Squash|Melongene,Potimarron|Brinjal|Guinea Squash|Melongene
History,multiple,medium,Which of these founding fathers of the United States of America later became president?,James Monroe,Alexander Hamilton|Samuel Adams|Roger Sherman,James Monroe|Alexander Hamilton|Samuel Adams|Roger Sherman
Sports,multiple,medium,What is the oldest team in Major League Baseball?,Atlanta Braves,Chicago Cubs|Cincinnati Reds|St. Louis Cardinals,Atlanta Braves|Chicago Cubs|Cincinnati Reds|St. Louis Cardinals
Science & Nature,multiple,medium,Myopia is the scientific term for which condition?,Shortsightedness,Farsightedness|Double Vision|Clouded Vision,Shortsightedness|Farsightedness|Double Vision|Clouded Vision
Entertainment: Video Games,multiple,easy,Who turns out to be the true victor in the Battle of Armageddon in Mortal Kombat?,Shao Kahn,Liu Kang|Shang Tsung|Raiden,Shao Kahn|Liu Kang|Shang Tsung|Raiden
General Knowledge,multiple,hard,"According to Fair Works Australia, how long do you have to work to get Long Service Leave?",7 years,2 years|8 years|6 months,7 years|2 years|8 years|6 months
Entertainment: Video Games,multiple,easy,Who is the leader of Team Instinct in Pokémon Go?,Spark,Candela|Blanche|Willow,Spark|Candela|Blanche|Willow
History,multiple,medium,Against which country did the Dutch Republic fight the Eighty Years' War?,Spain,France|England|Portugal,Spain|France|England|Portugal
Entertainment: Video Games,multiple,medium,"In World of Warcraft lore,  how many siblings does Sylvanas Windrunner have?",3,2|4|1,3|2|4|1
Entertainment: Video Games,multiple,easy,"In the ""Worms"" series of video games, which of these weapons is affected by wind?",Bazooka,Grenade|Air Strike|Mortar,Bazooka|Grenade|Air Strike|Mortar
Science & Nature,multiple,easy,What name is given to all baby marsupials?,Joey,Calf|Pup|Cub,Joey|Calf|Pup|Cub
Entertainment: Video Games,multiple,medium,Which of the following created and directed the Katamari Damacy series?,Keita Takahashi,Hideki Kamiya|Shu Takumi|Shinji Mikami,Keita Takahashi|Hideki Kamiya|Shu Takumi|Shinji Mikami
History,multiple,medium,Which of these countries was sea charted in 1500 by the Portuguese maritime explorations?,Brazil,India|Mozambique|Madagascar,Brazil|India|Mozambique|Madagascar
Entertainment: Music,multiple,medium,What M83 was featured in Grand Theft Auto V's radio?,Midnight City,Outro|Reunion|Wait,Midnight City|Outro|Reunion|Wait
Entertainment: Video Games,multiple,medium,"In what year was ""Super Mario Sunshine"" released?",2002,2003|2000|2004,2002|2003|2000|2004
Sports,multiple,hard,What tool lends it's name to a last-stone advantage in an end in Curling?,Hammer,Wrench|Drill|Screwdriver,Hammer|Wrench|Drill|Screwdriver
Geography,multiple,easy,How many US states start with the letter K?,Two,One|None|Three,Two|One|None|Three
Vehicles,multiple,hard,The difference between the lengths of a Boeing 777-300ER and an Airbus A350-1000 is closest to:,0.1m,1m|10m |100m,0.1m|1m|10m |100m
Geography,multiple,hard,What is the area of Vatican City?,0.44km^2,0.10km^2|0.86km^2|12.00km^2,0.44km^2|0.10km^2|0.86km^2|12.00km^2
Entertainment: Music,multiple,medium,What album did Gorillaz release in 2017?,Humanz,Plastic Beach|The Fall|Demon Days,Humanz|Plastic Beach|The Fall|Demon Days
Entertainment: Music,multiple,medium,EDM producer Marshmello performs live wearing clothes and a marshmallow mask of what colour?,White,Black|Blue|Yellow,White|Black|Blue|Yellow
History,multiple,medium,Who was the only US President to be elected four times?,Franklin Roosevelt,Theodore Roosevelt|George Washington|Abraham Lincoln,Franklin Roosevelt|Theodore Roosevelt|George Washington|Abraham Lincoln
Entertainment: Video Games,multiple,easy,What is the name of a popular franchise that includes placing blocks down and surviving in an open world? ,Minecraft,Unturned|Roblox|Grand Theft Auto V,Minecraft|Unturned|Roblox|Grand Theft Auto V
Entertainment: Comics,multiple,easy,What is the full first name of the babysitter in Calvin and Hobbes?,Rosalyn,Rose|Ruby|Rachel,Rosalyn|Rose|Ruby|Rachel
Entertainment: Video Games,multiple,medium,"In the Halo series, what fleet was Thel 'Vadam supreme commander of before being branded an Arbiter?",Fleet of Particular Justice,Fleet of Sacred Consecration|Fleet of Furious Redemption|Fleet of Righteous Vigilance,Fleet of Particular Justice|Fleet of Sacred Consecration|Fleet of Furious Redemption|Fleet of Righteous Vigilance
History,multiple,medium,When was the People's Republic of China founded?,"October 1, 1949","April 3, 1947|May 7, 1945|December 6, 1950","October 1, 1949|April 3, 1947|May 7, 1945|December 6, 1950"
Mythology,multiple,medium,"In Greek mythology, Persephone must return to the underworld because she had eaten what kind of seeds?",Pomegranate,Sunflower|Orange|Fig,Pomegranate|Sunflower|Orange|Fig
Entertainment: Video Games,multiple,easy,"In Overwatch, which ape species is the hero Winston?",Gorilla,Orangutan|Chimpanzee|Gibbon,Gorilla|Orangutan|Chimpanzee|Gibbon
Art,multiple,medium,"Which artist painted “The Treachery of Images,” a painting of a pipe with the description ""this is not a pipe""?",Magritte,Matisse|Modigliani|Munch ,Magritte|Matisse|Modigliani|Munch 
History,multiple,hard,When was Finland's 100th year of being independent?,2017,2016|2018|2015,2017|2016|2018|2015
Geography,multiple,hard,How many stations does the Central Line have on the London Underground?,49,51|43|47,49|51|43|47
Politics,multiple,medium,Who became Prime Minister of the United Kingdom in July 2016?,Theresa May,Boris Johnson|David Cameron|Tony Blair,Theresa May|Boris Johnson|David Cameron|Tony Blair
Entertainment: Video Games,multiple,easy,"In the Nintendo DS game 'Ghost Trick: Phantom Detective', what is the name of the hitman seen at the start of the game?",Nearsighted Jeego,One Step Ahead Tengo|Missile|Cabanela,Nearsighted Jeego|One Step Ahead Tengo|Missile|Cabanela
Geography,multiple,hard,Llanfair­pwllgwyngyll­gogery­chwyrn­drobwll­llan­tysilio­gogo­goch is located on which Welsh island?,Anglesey,Barry|Bardsey|Caldey,Anglesey|Barry|Bardsey|Caldey
Entertainment: Video Games,multiple,medium,"In Portal 2, which solar system body did Wheatley end up orbiting?",The moon,Earth|Jupiter|Mars,The moon|Earth|Jupiter|Mars
Entertainment: Video Games,multiple,easy,How many games in the Crash Bandicoot series were released on the original Playstation?,5,4|3|6,5|4|3|6
History,multiple,medium,"During the Mongolian invasions of Japan, what were the Mongol boats mostly stopped by?",Typhoons,Tornados|Economic depression|Samurai,Typhoons|Tornados|Economic depression|Samurai
Entertainment: Music,multiple,medium,"Which famous 90's rap album is commonly referred to as ""The Bible of Hip Hop""?",Illmatic,The Low End Theory|The Chronic|Enter The Wu-Tang (36 Chambers),Illmatic|The Low End Theory|The Chronic|Enter The Wu-Tang (36 Chambers)
Entertainment: Video Games,multiple,medium,"Which one of the first four titles of the ""Grand Theft Auto"" franchise started the series of iconic image grid cover arts?",Grand Theft Auto III,Grand Theft Auto|Grand Theft Auto II|Grand Theft Auto Vice City,Grand Theft Auto III|Grand Theft Auto|Grand Theft Auto II|Grand Theft Auto Vice City
